MMSI,IMO,CallSign,Name,VesselType,Length,Width,DimensionComponents
303177000,1,WAX7602,WESTERN NAVIGATOR,52,29,10,"9,20,5,5"
303436000,0,WBO8587,W.C. PARK RESPONDER,54,0,0,"0,0,0,0"
303362000,120246000,WDE4603,PACIFIC STAR,90,30,12,"20,10,6,6"
211423000,9211169,DBUQ,OOCL LOS ANGELES,71,277,40,"192,85,30,10"
210421000,9213399,P3ZH8,IRAN KERMANSHAH,70,0,0,"0,0,0,0"
367184720,0,WCX6145,P/V GOLDEN GATE,50,23,5,"10,13,3,2"
366841470,0,WDD5880,CHAMAI,30,0,0,"0,0,0,0"
316005667,0,CY8898,ROYAL CANADIAN,30,30,8,"15,15,4,4"
367382440,122100111,WDE6613,SANS SOUCI,0,21,8,"3,18,4,4"
303647000,0,WAS3635,CLIPPER EPIC,30,3,7,"1,2,3,4"
366976870,8127555,WRB5165,HENRY FOSS,32,30,11,"13,17,7,4"
369702000,9271119,WADZ,COASTAL RELIANCE,31,184,24,"156,28,10,14"
366975190,732,WDB9416,ROSARIO,52,0,0,"0,0,0,0"
636011560,9118317,A8AB2,YM ZENITH,70,276,31,"209,67,22,9"
366824910,0,WDA5852,PILOT BOAT JUAN DE F,50,20,5,"10,10,3,2"
366990520,0,WDC2280,DEL NORTE,60,30,70,"10,20,30,40"
316013431,0,,PACIFIC SCOUT,50,0,0,"0,0,0,0"
303941000,6621636,WTDM,MILLER    FREEMAN,90,67,13,"16,51,4,9"
